No.,VarAddr,VarName,VarValue,Timestamp,KindofData,is_ConnectedWifi
195,operationTimeRaw,operationTimeRaw,00:01:43,2024-01-29T12:00:19.914088,Counting,1
196,operationTimeRaw,operationTimeRaw,00:01:44,2024-01-29T12:00:20.937732,Counting,1
197,M60,S1_BF_JAM_T1_X24,0,2024-01-29T12:00:21.147741,Alarm,1
198,operationTimeRaw,operationTimeRaw,00:01:45,2024-01-29T12:00:21.968170,Counting,1
199,operationTimeRaw,operationTimeRaw,00:01:46,2024-01-29T12:00:23.019981,Counting,1
200,operationTimeRaw,operationTimeRaw,00:01:47,2024-01-29T12:00:24.058848,Counting,1
201,operationTimeRaw,operationTimeRaw,00:01:48,2024-01-29T12:00:25.078243,Counting,1
202,operationTimeRaw,operationTimeRaw,00:01:49,2024-01-29T12:00:26.119797,Counting,1
203,operationTimeRaw,operationTimeRaw,00:01:50,2024-01-29T12:00:27.174195,Counting,1
204,operationTimeRaw,operationTimeRaw,00:01:51,2024-01-29T12:00:28.212105,Counting,1
205,operationTimeRaw,operationTimeRaw,00:01:53,2024-01-29T12:00:29.244120,Counting,1
206,operationTimeRaw,operationTimeRaw,00:01:54,2024-01-29T12:00:30.271070,Counting,1
207,operationTimeRaw,operationTimeRaw,00:01:55,2024-01-29T12:00:31.307026,Counting,1
208,operationTimeRaw,operationTimeRaw,00:01:56,2024-01-29T12:00:32.340906,Counting,1
209,operationTimeRaw,operationTimeRaw,00:01:57,2024-01-29T12:00:33.379825,Counting,1
210,operationTimeRaw,operationTimeRaw,00:01:58,2024-01-29T12:00:34.422218,Counting,1
211,operationTimeRaw,operationTimeRaw,00:01:59,2024-01-29T12:00:35.447865,Counting,1
0,0,machineStatus,0,2024-01-29T12:01:03.660361,MachineStatus,1
1,D4100,S2_HUB_ABSENT_TR1,12,2024-01-29T12:01:04.924443,Checking,1
2,M31,LOW_AIR_PRESSURE,0,2024-01-29T12:01:04.932446,Alarm,1
3,D2116,S8_OFF_SET_TR1,0.0,2024-01-29T12:01:04.940427,Setting,1
4,D930,JOB_MIN,54,2024-01-29T12:01:04.952422,Counting,1
5,D4104,S6_FILTER_ABSENT_TR1,5,2024-01-29T12:01:05.013109,Checking,1
6,M32,EMERGENCY_STOP_PRESSED,0,2024-01-29T12:01:05.021111,Alarm,1
7,D4040,goodProductRaw,65,2024-01-29T12:01:05.029109,Counting,1
8,D2124,S8_MINIMUM_HEIGHT_VALUE_TR1,1.0,2024-01-29T12:01:05.037129,Setting,1
9,M33,INDEX_MOTOR_OVERLOAD_X11,0,2024-01-29T12:01:05.101657,Alarm,1
10,D4076,EFF,80,2024-01-29T12:01:05.109672,Counting,1
11,D2128,S8_MAXIMUM_HEIGHT_VALUE_TR1,6.0,2024-01-29T12:01:05.117664,Setting,1
12,D4108,S8_FLOW_CHK_FAIL_TR1,0,2024-01-29T12:01:05.125640,Checking,1
13,D5040,ACT_BATCH_CNT,65,2024-01-29T12:01:05.189751,Counting,1
14,M34,INDEX_JAM,0,2024-01-29T12:01:05.197745,Alarm,1
15,D4116,S2_HUB_ABSENT_TR2,12,2024-01-29T12:01:05.261744,Checking,1
16,D3116,S8_OFF_SET_TR2,0.0,2024-01-29T12:01:05.275555,Setting,1
17,D5070,SET_BATCH_QTY,10000,2024-01-29T12:01:05.278101,Counting,1
18,M35,MACHINE_AUTO_MODE,0,2024-01-29T12:01:05.294118,Alarm,1
19,D3124,S8_MINIMUM_HEIGHT_VALUE_TR2,1.0,2024-01-29T12:01:05.358681,Setting,1
20,M70,M70,0,2024-01-29T12:01:05.366705,Alarm,1
21,D4050,errorProduct,16,2024-01-29T12:01:05.375225,Counting,1
22,D4120,S6_FILTER_ABSENT_TR2,5,2024-01-29T12:01:05.383553,Checking,1
23,D4060,productCount,81,2024-01-29T12:01:05.447594,Counting,1
24,D3128,S8_MAXIMUM_HEIGHT_TR2,6.0,2024-01-29T12:01:05.455577,Setting,1
25,M36,COMMUNICATION_ALARM,0,2024-01-29T12:01:05.463575,Alarm,1
26,D4124,S8_FLOW_CHK_FAIL_TR2,1,2024-01-29T12:01:05.471591,Checking,1
27,D4000,GOOD_CNT_TR1,22,2024-01-29T12:01:05.535666,Counting,1
28,M37,B_F_SWITCH_NOT_ON,0,2024-01-29T12:01:05.559663,Alarm,1
